dataset,model,rf,max_rf,norm_rf,runtime,full_runtime
TF102013,ESM2_3B,68,78,0.8717948717948718,9.426157712936401,9.433603048324585
TF102014,ESM2_3B,68,80,0.85,8.485766887664795,8.489932775497437
TF102021,ESM2_3B,84,98,0.8571428571428571,8.101002216339111,8.106163501739502
TF102022,ESM2_3B,68,98,0.6938775510204082,8.724214553833008,8.73051905632019
TF102035,ESM2_3B,166,180,0.9222222222222223,32.73531150817871,32.74758744239807
TF102041,ESM2_3B,60,104,0.5769230769230769,70.50597405433655,70.51563382148743
TF102047,ESM2_3B,58,72,0.8055555555555556,3.646738290786743,3.650432586669922
TF102048,ESM2_3B,100,114,0.8771929824561403,5.699469327926636,5.7057435512542725
TF103001,ESM2_3B,134,168,0.7976190476190477,64.51334929466248,64.52532482147217
TF103004,ESM2_3B,0,2,0.0,0.3065028190612793,0.30821776390075684
TF103005,ESM2_3B,86,102,0.8431372549019608,9.723872184753418,9.730044841766357
TF103006,ESM2_3B,102,112,0.9107142857142857,11.632987260818481,11.63896131515503
TF103007,ESM2_3B,122,148,0.8243243243243243,20.30130410194397,20.31193971633911
TF103011,ESM2_3B,68,86,0.7906976744186046,11.650009870529175,11.65528154373169
TF103033,ESM2_3B,140,162,0.8641975308641975,85.73246216773987,85.74543166160583
TF103035,ESM2_3B,70,88,0.7954545454545454,2.742276191711426,2.748669385910034
TF103036,ESM2_3B,176,198,0.8888888888888888,98.9840407371521,98.99884557723999
TF103040,ESM2_3B,154,188,0.8191489361702128,11.116665124893188,11.130366086959839
TF103041,ESM2_3B,140,174,0.8045977011494253,5.020082235336304,5.031879901885986
TF103042,ESM2_3B,170,186,0.9139784946236559,7.765148639678955,7.778414487838745
TF103043,ESM2_3B,156,192,0.8125,6.350046634674072,6.363590478897095
TF103044,ESM2_3B,12,14,0.8571428571428571,0.7254452705383301,0.7307155132293701
TF103047,ESM2_3B,174,196,0.8877551020408163,57.337007999420166,57.35083842277527
TF103048,ESM2_3B,98,134,0.7313432835820896,19.23636507987976,19.24575448036194
TF103050,ESM2_3B,100,104,0.9615384615384616,17.841535091400146,17.84913206100464
TF103051,ESM2_3B,144,184,0.782608695652174,14.424127340316772,14.437360048294067
TF103052,ESM2_3B,170,208,0.8173076923076923,10.657098531723022,10.67287802696228
TF103054,ESM2_3B,178,188,0.9468085106382979,67.24577784538269,67.2597725391388
TF103055,ESM2_3B,148,178,0.8314606741573034,61.47577452659607,61.48830699920654
TF105005,ESM2_3B,164,180,0.9111111111111111,29.27139377593994,29.284981727600098
TF105006,ESM2_3B,4,4,1.0,0.5995607376098633,0.6020681858062744
TF105009,ESM2_3B,14,22,0.6363636363636364,2.5798633098602295,2.5840377807617188
TF105010,ESM2_3B,4,14,0.2857142857142857,5.152204990386963,5.157231569290161
TF105012,ESM2_3B,274,316,0.8670886075949367,32.3468873500824,32.37682056427002
TF105014,ESM2_3B,36,58,0.6206896551724138,10.310317039489746,10.317031383514404
TF105015,ESM2_3B,120,162,0.7407407407407407,25.13356900215149,25.144259452819824
TF105016,ESM2_3B,2,6,0.3333333333333333,3.3548331260681152,3.3613874912261963
TF105019,ESM2_3B,174,206,0.8446601941747572,17.98662495613098,18.001055002212524
TF105031,ESM2_3B,0,4,0.0,1.675807237625122,1.6812937259674072
TF105033,ESM2_3B,2,4,0.5,1.38332200050354,1.3904199600219727
TF105035,ESM2_3B,30,46,0.6521739130434783,1.5346980094909668,1.5414021015167236
TF105043,ESM2_3B,370,408,0.9068627450980392,81.62609839439392,81.67181658744812
TF105045,ESM2_3B,102,130,0.7846153846153846,17.96875238418579,17.977875471115112
TF105048,ESM2_3B,156,184,0.8478260869565217,42.60295104980469,42.61599159240723
TF105050,ESM2_3B,134,170,0.788235294117647,19.051533460617065,19.064485788345337
TF105051,ESM2_3B,164,192,0.8541666666666666,17.21207022666931,17.22542953491211
TF105053,ESM2_3B,0,2,0.0,2.040776491165161,2.0514159202575684
TF105054,ESM2_3B,134,148,0.9054054054054054,15.105363368988037,15.115428686141968
TF105060,ESM2_3B,64,76,0.8421052631578947,36.48530054092407,36.489208936691284
TF105062,ESM2_3B,146,194,0.7525773195876289,6.241085529327393,6.2556610107421875
TF105063,ESM2_3B,2,4,0.5,0.434429407119751,0.4415271282196045
TF105066,ESM2_3B,34,82,0.4146341463414634,1.532043695449829,1.53603196144104
TF105067,ESM2_3B,2,2,1.0,0.2322535514831543,0.24061155319213867
TF105068,ESM2_3B,80,114,0.7017543859649122,2.578810214996338,2.585458278656006
TF105086,ESM2_3B,40,66,0.6060606060606061,2.605689764022827,2.6088106632232666
TF105089,ESM2_3B,94,106,0.8867924528301887,10.104540348052979,10.110351800918579
TF105090,ESM2_3B,452,534,0.846441947565543,57.76857614517212,57.84548306465149
TF105091,ESM2_3B,126,132,0.9545454545454546,13.815022945404053,13.822559356689453
TF105093,ESM2_3B,112,144,0.7777777777777778,18.760464668273926,18.77946901321411
TF105097,ESM2_3B,0,2,0.0,1.4602820873260498,1.4723546504974365
TF105098,ESM2_3B,138,164,0.8414634146341463,30.743326902389526,30.7559015750885
TF105099,ESM2_3B,66,72,0.9166666666666666,18.02095055580139,18.02480721473694
TF105112,ESM2_3B,90,96,0.9375,39.80276393890381,39.80804753303528
TF105114,ESM2_3B,114,134,0.8507462686567164,60.584978103637695,60.59379172325134
