dataset,model,rf,max_rf,norm_rf,runtime,full_runtime
TB2:S13444Taxa5_processed,EVO2,125,153,0.8169934640522876,1.8676073551177979,1.875351905822754
TB2:S10349Taxa4_processed,EVO2,42,56,0.75,0.7074620723724365,0.7095053195953369
TB2:S1511Taxa1_processed,EVO2,10,14,0.7142857142857143,0.07924008369445801,0.0798649787902832
TB2:S11269Taxa5_processed,EVO2,23,29,0.7931034482758621,1.1202900409698486,1.122016191482544
TB2:S14106Taxa1_processed,EVO2,82,84,0.9761904761904762,3.127305030822754,3.130650043487549
TB2:S11777Taxa1_processed,EVO2,78,84,0.9285714285714286,1.4660375118255615,1.4692187309265137
TB2:S11289Taxa2_processed,EVO2,17,21,0.8095238095238095,0.4684576988220215,0.46995019912719727
TB2:S10398_processed,EVO2,148,192,0.7708333333333334,11.368317365646362,11.38331651687622
TB2:S11971_processed,EVO2,10,10,1.0,0.4343302249908447,0.4348578453063965
TB2:S1490Taxa2_processed,EVO2,70,102,0.6862745098039216,6.771915435791016,6.777006387710571
TB2:S15516_processed,EVO2,60,62,0.967741935483871,0.3469069004058838,0.34917473793029785
TB2:S10632Taxa6_processed,EVO2,6,12,0.5,0.15015363693237305,0.15070605278015137
TB2:S11783_processed,EVO2,111,117,0.9487179487179487,0.9744782447814941,0.980435848236084
TB2:S1452Taxa1_processed,EVO2,68,72,0.9444444444444444,2.435170888900757,2.4378671646118164
TB2:S14462Taxa2_processed,EVO2,14,16,0.875,0.21351122856140137,0.21420884132385254
TB2:S14911Taxa1_processed,EVO2,48,50,0.96,1.5427851676940918,1.5445361137390137
TB2:S1438Taxa4_processed,EVO2,73,79,0.9240506329113924,0.7049384117126465,0.7080779075622559
TB2:S14437Taxa3_processed,EVO2,58,68,0.8529411764705882,0.5068600177764893,0.5097863674163818
TB2:S11535Taxa5_processed,EVO2,159,159,1.0,9.160734415054321,9.169841289520264
TB2:S9991Taxa4_processed,EVO2,137,141,0.9716312056737588,1.412280797958374,1.4213595390319824
TB2:S15601Taxa3_processed,EVO2,46,48,0.9583333333333334,2.5651919841766357,2.5668718814849854
TB2:S12959Taxa3_processed,EVO2,121,139,0.8705035971223022,0.7323389053344727,0.7411553859710693
TB2:S11777Taxa4_processed,EVO2,164,180,0.9111111111111111,5.139360427856445,5.1484105587005615
TB2:S2025Taxa3_processed,EVO2,151,165,0.9151515151515152,9.946495771408081,9.956390857696533
TB2:S1804Taxa2_processed,EVO2,66,68,0.9705882352941176,0.44105958938598633,0.44355082511901855
TB2:S12569Taxa1_processed,EVO2,12,26,0.46153846153846156,0.5150580406188965,0.5161452293395996
TB2:S14226Taxa2_processed,EVO2,20,32,0.625,3.2382194995880127,3.2397375106811523
TB2:S930Taxa2_processed,EVO2,23,31,0.7419354838709677,1.3596763610839844,1.3609142303466797
TB2:S2083_processed,EVO2,14,18,0.7777777777777778,1.4244318008422852,1.425248146057129
TB2:S12165Taxa7_processed,EVO2,64,82,0.7804878048780488,0.7415192127227783,0.7447540760040283
TB2:S11269Taxa10_processed,EVO2,22,32,0.6875,0.43114686012268066,0.4334244728088379
TB2:S1604_processed,EVO2,51,59,0.864406779661017,0.9307706356048584,0.9333236217498779
TB2:S10059Taxa3_processed,EVO2,5,13,0.38461538461538464,2.052105188369751,2.0527656078338623
TB2:S13099_processed,EVO2,150,150,1.0,9.28623366355896,9.293421745300293
TB2:S1521Taxa1_processed,EVO2,28,32,0.875,1.7326874732971191,1.7338917255401611
TB2:S12145Taxa2_processed,EVO2,45,55,0.8181818181818182,0.1345076560974121,0.13778114318847656
TB2:S12034Taxa2_processed,EVO2,136,148,0.918918918918919,7.836456537246704,7.843773603439331
TB2:S1143Taxa2_processed,EVO2,19,21,0.9047619047619048,1.641601800918579,1.6425342559814453
TB2:S10673Taxa6_processed,EVO2,24,24,1.0,0.18048501014709473,0.1814115047454834
TB2:S1473Taxa1_processed,EVO2,35,49,0.7142857142857143,1.151029348373413,1.1529569625854492
TB2:S1699Taxa5_processed,EVO2,29,31,0.9354838709677419,0.6469247341156006,0.648137092590332
TB2:S2036Taxa6_processed,EVO2,180,190,0.9473684210526315,0.8755664825439453,1.077223539352417
TB2:S881Taxa3_processed,EVO2,12,18,0.6666666666666666,1.037433385848999,1.0381431579589844
TB2:S10068Taxa2_processed,EVO2,46,58,0.7931034482758621,0.7415297031402588,0.7436201572418213
TB2:S13007_processed,EVO2,34,40,0.85,0.927422285079956,0.9295144081115723
TB2:S13709_processed,EVO2,206,214,0.9626168224299065,3.4037787914276123,3.417898654937744
TB2:S1456Taxa3_processed,EVO2,30,38,0.7894736842105263,0.624176025390625,0.6260004043579102
TB2:S10701Taxa2_processed,EVO2,18,34,0.5294117647058824,1.4115943908691406,1.4129629135131836
TB2:S12384Taxa4_processed,EVO2,245,269,0.9107806691449815,6.5734710693359375,6.597248792648315
TB2:S13566_processed,EVO2,18,18,1.0,0.5796308517456055,0.5803160667419434
TB2:S14297Taxa2_processed,EVO2,17,25,0.68,0.5140981674194336,0.515230655670166
TB2:S1246Taxa1_processed,EVO2,7,9,0.7777777777777778,0.06335759162902832,0.06389379501342773
TB2:S13159Taxa5_processed,EVO2,58,78,0.7435897435897436,0.6951665878295898,0.6982009410858154
TB2:S15492Taxa3_processed,EVO2,14,20,0.7,0.2813725471496582,0.28220200538635254
TB2:S2088_processed,EVO2,46,46,1.0,3.3119091987609863,3.31398868560791
TB2:S10021Taxa1_processed,EVO2,66,88,0.75,1.669954538345337,1.6749725341796875
TB2:S11916Taxa1_processed,EVO2,144,168,0.8571428571428571,2.4163498878479004,2.426450252532959
TB2:S14299Taxa1_processed,EVO2,474,496,0.9556451612903226,4.005817174911499,4.0563883781433105
TB2:S10943Taxa10_processed,EVO2,58,86,0.6744186046511628,1.0074467658996582,1.0111019611358643
TB2:S10701Taxa18_processed,EVO2,21,29,0.7241379310344828,0.5751056671142578,0.5763888359069824
TB2:S10823_processed,EVO2,114,126,0.9047619047619048,4.600251913070679,4.605879545211792
TB2:S14021Taxa1_processed,EVO2,42,48,0.875,1.626716136932373,1.6284379959106445
TB2:S1019Taxa13_processed,EVO2,16,20,0.8,1.1356921195983887,1.1364259719848633
TB2:S2072Taxa1_processed,EVO2,14,18,0.7777777777777778,0.4793202877044678,0.4800529479980469
TB2:S10100Taxa2_processed,EVO2,145,155,0.9354838709677419,3.4492032527923584,3.461013078689575
TB2:S10658_processed,EVO2,19,33,0.5757575757575758,0.20999503135681152,0.2112274169921875
TB2:S10760Taxa2_processed,EVO2,168,174,0.9655172413793104,1.1528000831604004,1.1632003784179688
TB2:S14283Taxa1_processed,EVO2,558,772,0.7227979274611399,7.3111419677734375,7.422258138656616
TB2:S1219Taxa2_processed,EVO2,19,27,0.7037037037037037,0.20947575569152832,0.21059441566467285
TB2:S10445Taxa1_processed,EVO2,40,64,0.625,0.7814879417419434,0.7839474678039551
TB2:S10366_processed,EVO2,34,36,0.9444444444444444,0.4266653060913086,0.4280102252960205
TB2:S12709Taxa1_processed,EVO2,48,50,0.96,2.9878790378570557,2.989701509475708
TB2:S10754Taxa4_processed,EVO2,46,76,0.6052631578947368,5.5875444412231445,5.590571403503418
TB2:S13746_processed,EVO2,142,188,0.7553191489361702,3.903151512145996,3.9128661155700684
TB2:S11836_processed,EVO2,86,88,0.9772727272727273,1.0012946128845215,1.0056288242340088
TB2:S2224_processed,EVO2,96,106,0.9056603773584906,4.233653783798218,4.237972021102905
TB2:S10703Taxa4_processed,EVO2,48,48,1.0,1.270413875579834,1.2722253799438477
TB2:S9946_processed,EVO2,54,64,0.84375,2.309378147125244,2.3117690086364746
TB2:S1159Taxa1_processed,EVO2,36,38,0.9473684210526315,0.7663037776947021,0.7676680088043213
TB2:S11128Taxa1_processed,EVO2,204,204,1.0,1.5784685611724854,1.6049926280975342
TB2:S987Taxa1_processed,EVO2,8,20,0.4,1.0443172454833984,1.0450890064239502
TB2:S1383Taxa3_processed,EVO2,34,42,0.8095238095238095,1.2095768451690674,1.211136817932129
TB2:S10021Taxa2_processed,EVO2,40,46,0.8695652173913043,0.3662891387939453,0.368560791015625
TB2:S11490Taxa1_processed,EVO2,70,72,0.9722222222222222,4.9093756675720215,4.912219285964966
